-2.15463,0.46395,-2.91774,-2.55566,-4.31377,-3.79862,-0.70872,-2.69281,-1.73894,7.05495,-0.01316,1.99098,0.85243,-0.56147,-3.56455,1
1.62677,2.52802,-2.63519,-1.82554,-5.12500,0.00117,-2.33398,-1.25888,-0.81115,4.57838,0.61359,1.83119,-0.77769,-2.32556,-2.46922,1
-0.15941,1.72803,-2.17433,-4.08072,-3.09164,-2.07947,-1.11832,-4.22354,-0.90304,8.79194,-0.72346,2.60134,-2.53942,-1.92503,-2.44005,1
-2.94000,0.04065,2.81047,0.58717,3.19758,0.68055,-5.01742,1.45554,2.67982,-2.31609,-0.38961,2.80588,2.64680,1.32158,-1.46505,1
9.16587,2.68271,0.43806,-1.56179,-2.32388,0.22911,2.48744,-1.22234,4.19339,-6.71660,5.66637,-2.31463,0.08853,-0.45782,4.51750,1
-3.30731,0.44037,0.97830,-2.45275,-0.51728,0.71760,-3.25815,-1.05428,0.19759,4.34536,-0.93664,2.52723,0.74996,1.33482,-2.31561,1
-0.13846,-0.83028,2.36952,2.08711,0.21505,-0.59128,-1.75498,-0.40955,0.91413,0.84657,-0.40541,2.28974,0.16564,1.43403,-3.41457,1
-4.02010,-0.40710,-3.24258,-1.39738,1.18418,0.44582,0.45945,2.21908,0.39770,-0.56926,-1.60643,-2.04415,-2.00571,-2.67900,-0.33576,1
-0.57734,-1.13463,-3.03250,-0.44481,0.99510,-0.31752,3.78516,1.22361,2.27712,-5.69237,0.46152,-3.63936,-2.45727,-0.20944,1.51526,1
4.25076,1.55257,0.83044,-0.97291,-1.82005,2.60159,-0.12428,1.05261,1.75683,-4.60529,3.04465,-0.42014,-1.35809,0.35985,2.59046,1
8.90585,8.00812,2.87809,-1.96188,0.13494,-1.34724,-12.47148,1.27561,5.96576,-7.00787,0.79442,2.08350,1.71966,-1.00444,2.78008,1
3.04441,1.24328,2.43048,-4.24180,-2.93086,1.44421,1.69918,-0.96732,2.22837,3.22335,4.64570,-1.32836,2.23460,-2.62611,0.86582,1
