-4.37988,0.03328,0.68250,1.78164,1.57521,-1.03119,5.73053,-1.87309,-3.41742,-3.76769,-4.93432,-0.25063,0.14559,1.87594,1
0.49001,-4.26031,0.84262,6.53253,-0.66279,-2.23461,9.91956,-2.58536,3.59620,-3.72944,-0.72553,-1.94348,-0.73446,3.79605,1
-0.39027,2.63213,-1.48347,0.91683,0.58690,0.34053,-3.34121,-3.27158,2.59690,3.31814,-1.47002,0.15994,1.10618,3.37124,1
-0.68774,-1.60833,1.64828,-2.26498,1.64503,3.90540,3.91840,-0.56424,-2.02549,-0.73319,1.28794,-2.43527,-6.32056,-0.09470,1
-5.89879,-2.68141,5.05990,-2.54237,0.94007,1.56224,6.63299,-0.19629,1.55543,1.30989,-2.66794,-0.04766,-1.53380,-0.83414,1
-3.86722,2.09541,0.57874,-3.99730,-0.15222,0.10703,0.84296,-0.42736,0.92845,2.84953,-1.72370,-0.49136,-2.93773,-0.40018,1
-0.47685,2.70258,2.46163,-4.10172,0.89719,0.87427,-3.53655,-1.19537,2.39488,3.52762,-3.17971,1.31087,-0.32595,3.06129,1
-0.65465,-1.02458,0.45290,-1.55355,2.49186,-0.72044,8.66418,-3.55466,-0.24062,-3.41509,-3.96758,5.95178,-0.09227,1.54056,1
0.77524,0.91760,-2.56498,-3.62878,-2.35431,-3.63873,1.60980,-1.17712,0.48556,0.44673,1.63515,4.43108,0.33182,0.47425,1
-1.09110,4.06425,-3.05522,-5.62677,-3.14860,-2.47748,-2.59722,-1.21221,-0.82038,3.26561,0.01094,1.69710,-2.76082,3.70205,1
-2.80810,-1.33719,-1.90104,6.64354,0.23961,0.78154,4.38213,1.07699,1.03647,-2.51236,-0.71588,-2.09093,-1.18829,2.93956,1
1.18418,-2.67900,-0.40710,-1.50930,0.39770,-0.33576,1.88014,-1.60643,-2.00571,2.21908,-1.39738,-2.04415,-3.24258,0.44582,1
-4.38276,-1.11113,2.78258,-0.16053,2.05666,-0.34610,5.61871,0.40159,1.01802,-0.91728,-3.64073,-0.77759,-0.96545,-1.23492,1
-0.27937,-2.05732,1.56513,2.78564,1.37999,3.15771,2.36343,0.75026,-0.95655,-1.30019,-1.77060,-3.17747,-2.60364,0.09886,1
-4.04556,-2.26294,3.02114,2.63483,2.53551,2.33294,1.56566,3.58298,2.16040,-1.19104,-0.89078,1.06216,1.77863,2.64887,1
-0.71701,-0.17724,2.32735,-6.60030,-0.10353,1.11331,-1.00271,-1.01526,-2.54286,2.80577,-0.51677,0.77869,-2.35136,0.90876,1
-2.27197,-1.91450,1.57458,1.44418,1.89109,1.04030,0.76421,2.11499,0.70521,0.63802,-1.58802,-1.34710,0.26258,-0.83712,1
-0.45735,1.14668,-1.84254,4.84333,2.67469,-1.23939,-4.03012,-3.27861,-0.96467,-0.97351,3.18712,-1.83945,6.03026,-1.24533,1
-0.85742,0.28820,-0.86645,0.68060,1.45084,0.21339,-1.91478,-2.14932,3.01356,4.11440,-1.54381,-0.16016,0.12849,4.40823,1
-1.86428,-1.97839,1.90091,-1.60578,1.51200,-0.11988,10.25250,-3.01992,-0.25490,-3.49662,-4.26534,5.65468,-0.10990,0.52730,1
3.37903,2.64049,1.45115,-0.65077,5.51370,0.31019,-11.42069,-0.66477,2.60233,2.85182,0.89033,0.63581,5.16445,2.97542,1
-1.66862,-3.10889,2.99134,-0.59262,2.97204,2.83143,1.97337,1.50458,0.27984,-0.19092,0.81663,-0.07226,-1.50727,2.12792,1
-2.55717,-2.98195,-0.80953,-1.18201,-1.04481,1.38029,6.65871,-1.41192,-0.53186,3.72839,-3.59575,-2.37139,-5.63833,-3.00917,1
